Date,Rainfall_Gallicano,Rainfall_Pontetetto,Rainfall_Monte_Serra,Rainfall_Orentano,Rainfall_Borgo_a_Mozzano,Rainfall_Piaggione,Rainfall_Calavorno,Rainfall_Croce_Arcana,Rainfall_Tereglio_Coreglia_Antelminelli,Rainfall_Fabbriche_di_Vallico,Depth_to_Groundwater_LT2,Depth_to_Groundwater_SAL,Depth_to_Groundwater_PAG,Depth_to_Groundwater_CoS,Depth_to_Groundwater_DIEC,Temperature_Orentano,Temperature_Monte_Serra,Temperature_Ponte_a_Moriano,Temperature_Lucca_Orto_Botanico,Volume_POL,Volume_CC1,Volume_CC2,Volume_CSA,Volume_CSAL,Hydrometry_Monte_S_Quirico,Hydrometry_Piaggione
17/06/1998,,,,,,,,,,,,,,,,0,15.15,0,18.95,,,,,,,
18/06/1998,,,,,,,,,,,,,,,,0,17.15,0,20.1,,,,,,,
19/06/1998,,,,,,,,,,,,,,,,0,18.8,0,20.45,,,,,,,
20/06/1998,,,,,,,,,,,,,,,,0,20.8,0,21.9,,,,,,,
21/06/1998,,,,,,,,,,,,,,,,0,21.15,0,21.55,,,,,,,
22/06/1998,,,,,,,,,,,,,,,,0,20.05,0,21.25,,,,,,,
23/06/1998,,,,,,,,,,,,,,,,0,18.9,0,22.85,,,,,,,
24/06/1998,,,,,,,,,,,,,,,,0,20.5,0,22.8,,,,,,,
25/06/1998,,,,,,,,,,,,,,,,0,21.05,0,23.5,,,,,,,
26/06/1998,,,,,,,,,,,,,,,,0,21.5,0,23.75,,,,,,,
27/06/1998,,,,,,,,,,,,,,,,0,21.85,0,23.9,,,,,,,
28/06/1998,,,,,,,,,,,,,,,,0,21.8,0,24.25,,,,,,,
29/06/1998,,,,,,,,,,,,,,,,0,22.5,0,25.25,,,,,,,
30/06/1998,,,,,,,,,,,,,,,,0,23.05,0,25.45,,,,,,,
01/07/1998,,,,,,,,,,,,,,,,0,22.55,0,26.75,,,,,,,
02/07/1998,,,,,,,,,,,,,,,,0,23.6,0,24.7,,,,,,,
03/07/1998,,,,,,,,,,,,,,,,0,20.2,0,22.7,,,,,,,
04/07/1998,,,,,,,,,,,,,,,,0,18.65,0,23.95,,,,,,,
05/07/1998,,,,,,,,,,,,,,,,0,21.2,0,23.2,,,,,,,
06/07/1998,,,,,,,,,,,,,,,,0,20.9,0,24.05,,,,,,,
07/07/1998,,,,,,,,,,,,,,,,0,20.3,0,24.25,,,,,,,
08/07/1998,,,,,,,,,,,,,,,,0,19.65,0,24.7,,,,,,,
09/07/1998,,,,,,,,,,,,,,,,0,19.45,0,23.05,,,,,,,
10/07/1998,,,,,,,,,,,,,,,,0,19.8,0,22,,,,,,,
11/07/1998,,,,,,,,,,,,,,,,0,19.5,0,23.45,,,,,,,
12/07/1998,,,,,,,,,,,,,,,,0,18.9,0,22.8,,,,,,,
13/07/1998,,,,,,,,,,,,,,,,0,20.6,0,22.85,,,,,,,
14/07/1998,,,,,,,,,,,,,,,,0,20,0,22.2,,,,,,,
15/07/1998,,,,,,,,,,,,,,,,0,17.45,0,22.55,,,,,,,
16/07/1998,,,,,,,,,,,,,,,,0,20.15,0,22,,,,,,,
17/07/1998,,,,,,,,,,,,,,,,0,18.85,0,23.3,,,,,,,
18/07/1998,,,,,,,,,,,,,,,,0,19.85,0,23.1,,,,,,,
19/07/1998,,,,,,,,,,,,,,,,0,21.4,0,24.75,,,,,,,
20/07/1998,,,,,,,,,,,,,,,,0,24.45,0,26.5,,,,,,,
21/07/1998,,,,,,,,,,,,,,,,0,27.45,0,26.4,,,,,,,
22/07/1998,,,,,,,,,,,,,,,,0,25.55,0,26.2,,,,,,,
23/07/1998,,,,,,,,,,,,,,,,0,26.35,0,25.6,,,,,,,
24/07/1998,,,,,,,,,,,,,,,,0,25.85,0,25.75,,,,,,,
25/07/1998,,,,,,,,,,,,,,,,0,23.9,0,25.65,,,,,,,
26/07/1998,,,,,,,,,,,,,,,,0,23.55,0,26.65,,,,,,,
27/07/1998,,,,,,,,,,,,,,,,0,24.4,0,26.75,,,,,,,
28/07/1998,,,,,,,,,,,,,,,,0,23.7,0,25.8,,,,,,,
29/07/1998,,,,,,,,,,,,,,,,0,21.05,0,24.45,,,,,,,
30/07/1998,,,,,,,,,,,,,,,,0,23.25,0,25.3,,,,,,,
31/07/1998,,,,,,,,,,,,,,,,0,22.8,0,24.9,,,,,,,
01/08/1998,,,,,,,,,,,,,,,,0,23.4,0,27.2,,,,,,,
02/08/1998,,,,,,,,,,,,,,,,0,24.7,0,26.95,,,,,,,
03/08/1998,,,,,,,,,,,,,,,,0,23.45,0,27.9,,,,,,,
04/08/1998,,,,,,,,,,,,,,,,0,23,0,26.4,,,,,,,
05/08/1998,,,,,,,,,,,,,,,,0,23.2,0,26.7,,,,,,,
06/08/1998,,,,,,,,,,,,,,,,0,25.15,0,26.9,,,,,,,
07/08/1998,,,,,,,,,,,,,,,,0,25.35,0,26.85,,,,,,,
08/08/1998,,,,,,,,,,,,,,,,0,26.8,0,26.7,,,,,,,
09/08/1998,,,,,,,,,,,,,,,,0,27.55,0,25.95,,,,,,,
10/08/1998,,,,,,,,,,,,,,,,0,26.95,0,26.3,,,,,,,
11/08/1998,,,,,,,,,,,,,,,,0,29.3,0,26.9,,,,,,,
12/08/1998,,,,,,,,,,,,,,,,0,29.5,0,26.85,,,,,,,
13/08/1998,,,,,,,,,,,,,,,,0,28.55,0,25.4,,,,,,,
14/08/1998,,,,,,,,,,,,,,,,0,25.9,0,24.75,,,,,,,
15/08/1998,,,,,,,,,,,,,,,,0,25.3,0,25.25,,,,,,,
16/08/1998,,,,,,,,,,,,,,,,0,25.05,0,25.65,,,,,,,
17/08/1998,,,,,,,,,,,,,,,,0,25.05,0,26.75,,,,,,,
18/08/1998,,,,,,,,,,,,,,,,0,24.9,0,25.7,,,,,,,
19/08/1998,,,,,,,,,,,,,,,,0,22.7,0,25.55,,,,,,,
20/08/1998,,,,,,,,,,,,,,,,0,23.85,0,24.75,,,,,,,
21/08/1998,,,,,,,,,,,,,,,,0,23.8,0,24.8,,,,,,,
22/08/1998,,,,,,,,,,,,,,,,0,21.75,0,24.55,,,,,,,
23/08/1998,,,,,,,,,,,,,,,,0,22.5,0,26.6,,,,,,,
24/08/1998,,,,,,,,,,,,,,,,0,24.5,0,25,,,,,,,
25/08/1998,,,,,,,,,,,,,,,,0,22.85,0,25.35,,,,,,,
26/08/1998,,,,,,,,,,,,,,,,0,24.45,0,24.05,,,,,,,
27/08/1998,,,,,,,,,,,,,,,,0,21.9,0,23.2,,,,,,,
28/08/1998,,,,,,,,,,,,,,,,0,21.75,0,17.25,,,,,,,
29/08/1998,,,,,,,,,,,,,,,,0,17.15,0,17.65,,,,,,,
30/08/1998,,,,,,,,,,,,,,,,0,19.8,0,18.25,,,,,,,
31/08/1998,,,,,,,,,,,,,,,,0,20,0,19.5,,,,,,,
01/09/1998,,,,,,,,,,,,,,,,0,20.4,0,22.85,,,,,,,
02/09/1998,,,,,,,,,,,,,,,,0,21.9,0,24.1,,,,,,,
03/09/1998,,,,,,,,,,,,,,,,0,24.8,0,23.45,,,,,,,
04/09/1998,,,,,,,,,,,,,,,,0,23.95,0,24.85,,,,,,,
05/09/1998,,,,,,,,,,,,,,,,0,23,0,22.35,,,,,,,
06/09/1998,,,,,,,,,,,,,,,,0,20.75,0,21.9,,,,,,,
07/09/1998,,,,,,,,,,,,,,,,0,20.3,0,20.95,,,,,,,
08/09/1998,,,,,,,,,,,,,,,,0,20.95,0,22.95,,,,,,,
09/09/1998,,,,,,,,,,,,,,,,0,21.6,0,22.15,,,,,,,
10/09/1998,,,,,,,,,,,,,,,,0,23.5,0,23.35,,,,,,,
11/09/1998,,,,,,,,,,,,,,,,0,22.8,0,20.25,,,,,,,
12/09/1998,,,,,,,,,,,,,,,,0,18.6,0,18.55,,,,,,,
13/09/1998,,,,,,,,,,,,,,,,0,14.3,0,15.9,,,,,,,
14/09/1998,,,,,,,,,,,,,,,,0,13.15,0,15.15,,,,,,,
15/09/1998,,,,,,,,,,,,,,,,0,13.45,0,15.5,,,,,,,
16/09/1998,,,,,,,,,,,,,,,,0,14.25,0,15.3,,,,,,,
17/09/1998,,,,,,,,,,,,,,,,0,16.05,0,19.2,,,,,,,
18/09/1998,,,,,,,,,,,,,,,,0,16.95,0,19.2,,,,,,,
19/09/1998,,,,,,,,,,,,,,,,0,18.3,0,18.5,,,,,,,
20/09/1998,,,,,,,,,,,,,,,,0,17.05,0,17.3,,,,,,,
21/09/1998,,,,,,,,,,,,,,,,0,17.1,0,18.7,,,,,,,
22/09/1998,,,,,,,,,,,,,,,,0,17.05,0,17.6,,,,,,,
23/09/1998,,,,,,,,,,,,,,,,0,17.5,0,17.6,,,,,,,
24/09/1998,,,,,,,,,,,,,,,,0,18.5,0,18.3,,,,,,,
25/09/1998,,,,,,,,,,,,,,,,0,18.3,0,15.8,,,,,,,
26/09/1998,,,,,,,,,,,,,,,,0,16.4,0,18.95,,,,,,,
27/09/1998,,,,,,,,,,,,,,,,0,18.1,0,17.8,,,,,,,
28/09/1998,,,,,,,,,,,,,,,,0,15.8,0,17.5,,,,,,,
29/09/1998,,,,,,,,,,,,,,,,0,16.05,0,18.9,,,,,,,
30/09/1998,,,,,,,,,,,,,,,,0,15.75,0,17.95,,,,,,,
01/10/1998,,,,,,,,,,,,,,,,0,17.3,0,18.55,,,,,,,
02/10/1998,,,,,,,,,,,,,,,,0,15.5,0,16.45,,,,,,,
03/10/1998,,,,,,,,,,,,,,,,0,13.55,0,16.15,,,,,,,
04/10/1998,,,,,,,,,,,,,,,,0,13.8,0,15.3,,,,,,,
05/10/1998,,,,,,,,,,,,,,,,0,15.2,0,16.35,,,,,,,
06/10/1998,,,,,,,,,,,,,,,,0,16.9,0,16.4,,,,,,,
07/10/1998,,,,,,,,,,,,,,,,0,15.6,0,17.45,,,,,,,
08/10/1998,,,,,,,,,,,,,,,,0,15.1,0,16.7,,,,,,,
09/10/1998,,,,,,,,,,,,,,,,0,14.95,0,15.45,,,,,,,
10/10/1998,,,,,,,,,,,,,,,,0,14.25,0,15.6,,,,,,,
11/10/1998,,,,,,,,,,,,,,,,0,13.35,0,15.4,,,,,,,
12/10/1998,,,,,,,,,,,,,,,,0,13.45,0,15.4,,,,,,,
13/10/1998,,,,,,,,,,,,,,,,0,13.45,0,14.8,,,,,,,
14/10/1998,,,,,,,,,,,,,,,,0,14.6,0,13.4,,,,,,,
15/10/1998,,,,,,,,,,,,,,,,0,14.25,0,14.4,,,,,,,
16/10/1998,,,,,,,,,,,,,,,,0,14.7,0,14.15,,,,,,,
17/10/1998,,,,,,,,,,,,,,,,0,14.8,0,16.4,,,,,,,
18/10/1998,,,,,,,,,,,,,,,,0,15.65,0,17.7,,,,,,,
19/10/1998,,,,,,,,,,,,,,,,0,15.55,0,15.7,,,,,,,
20/10/1998,,,,,,,,,,,,,,,,0,15.25,0,14.8,,,,,,,
21/10/1998,,,,,,,,,,,,,,,,0,13.95,0,13.2,,,,,,,
22/10/1998,,,,,,,,,,,,,,,,0,15.05,0,13.25,,,,,,,
23/10/1998,,,,,,,,,,,,,,,,0,14.25,0,14.2,,,,,,,
24/10/1998,,,,,,,,,,,,,,,,0,13.7,0,16.15,,,,,,,
25/10/1998,,,,,,,,,,,,,,,,0,14.5,0,16.05,,,,,,,
26/10/1998,,,,,,,,,,,,,,,,0,15.2,0,14.2,,,,,,,
27/10/1998,,,,,,,,,,,,,,,,0,15.15,0,12.55,,,,,,,
28/10/1998,,,,,,,,,,,,,,,,0,14.8,0,15.4,,,,,,,
29/10/1998,,,,,,,,,,,,,,,,0,13.95,0,17.65,,,,,,,
30/10/1998,,,,,,,,,,,,,,,,0,13.7,0,13.45,,,,,,,
31/10/1998,,,,,,,,,,,,,,,,0,12,0,11.7,,,,,,,
01/11/1998,,,,,,,,,,,,,,,,0,12.55,0,14.45,,,,,,,
02/11/1998,,,,,,,,,,,,,,,,0,13.75,0,15.9,,,,,,,
03/11/1998,,,,,,,,,,,,,,,,0,13.4,0,15.9,,,,,,,
04/11/1998,,,,,,,,,,,,,,,,0,16.1,0,17.6,,,,,,,
05/11/1998,,,,,,,,,,,,,,,,0,14.35,0,13.85,,,,,,,
06/11/1998,,,,,,,,,,,,,,,,0,12.6,0,12.35,,,,,,,
07/11/1998,,,,,,,,,,,,,,,,0,11.45,0,10.55,,,,,,,
08/11/1998,,,,,,,,,,,,,,,,0,10.2,0,9,,,,,,,
09/11/1998,,,,,,,,,,,,,,,,0,9.2,0,9.25,,,,,,,
10/11/1998,,,,,,,,,,,,,,,,0,11.35,0,11.5,,,,,,,
11/11/1998,,,,,,,,,,,,,,,,0,12.5,0,14.45,,,,,,,
12/11/1998,,,,,,,,,,,,,,,,0,10.85,0,10.25,,,,,,,
13/11/1998,,,,,,,,,,,,,,,,0,9.4,0,9.15,,,,,,,
14/11/1998,,,,,,,,,,,,,,,,0,9.65,0,6.8,,,,,,,
15/11/1998,,,,,,,,,,,,,,,,0,8.95,0,9.25,,,,,,,
16/11/1998,,,,,,,,,,,,,,,,0,9.85,0,7.4,,,,,,,
17/11/1998,,,,,,,,,,,,,,,,0,9.05,0,6.1,,,,,,,
18/11/1998,,,,,,,,,,,,,,,,0,7.75,0,4.3,,,,,,,
19/11/1998,,,,,,,,,,,,,,,,0,6.9,0,6.65,,,,,,,
20/11/1998,,,,,,,,,,,,,,,,0,5.7,0,3.75,,,,,,,
21/11/1998,,,,,,,,,,,,,,,,0,3.3,0,2.35,,,,,,,
22/11/1998,,,,,,,,,,,,,,,,0,1.85,0,3.35,,,,,,,
23/11/1998,,,,,,,,,,,,,,,,0,3.35,0,2.35,,,,,,,
24/11/1998,,,,,,,,,,,,,,,,0,5.35,0,5.85,,,,,,,
25/11/1998,,,,,,,,,,,,,,,,0,7.7,0,6.75,,,,,,,
26/11/1998,,,,,,,,,,,,,,,,0,7.65,0,8.15,,,,,,,
27/11/1998,,,,,,,,,,,,,,,,0,8.55,0,6.95,,,,,,,
28/11/1998,,,,,,,,,,,,,,,,0,7.75,0,7.15,,,,,,,
29/11/1998,,,,,,,,,,,,,,,,0,8.25,0,3.95,,,,,,,
30/11/1998,,,,,,,,,,,,,,,,0,7.05,0,6.15,,,,,,,
01/12/1998,,,,,,,,,,,,,,,,0,7.6,0,8,,,,,,,
02/12/1998,,,,,,,,,,,,,,,,0,6.15,0,9.15,,,,,,,
03/12/1998,,,,,,,,,,,,,,,,0,7.45,0,9.35,,,,,,,
04/12/1998,,,,,,,,,,,,,,,,0,8.8,0,7.2,,,,,,,
05/12/1998,,,,,,,,,,,,,,,,0,7.85,0,5.75,,,,,,,
06/12/1998,,,,,,,,,,,,,,,,0,7.1,0,2.05,,,,,,,
07/12/1998,,,,,,,,,,,,,,,,0,4.95,0,1.7,,,,,,,
08/12/1998,,,,,,,,,,,,,,,,0,4.6,0,0.85,,,,,,,
09/12/1998,,,,,,,,,,,,,,,,0,5.15,0,0.7,,,,,,,
10/12/1998,,,,,,,,,,,,,,,,0,4.25,0,3.15,,,,,,,
11/12/1998,,,,,,,,,,,,,,,,0,5.95,0,4.75,,,,,,,
12/12/1998,,,,,,,,,,,,,,,,0,7,0,6.6,,,,,,,
13/12/1998,,,,,,,,,,,,,,,,0,9.8,0,5.7,,,,,,,
14/12/1998,,,,,,,,,,,,,,,,0,11.2,0,3.55,,,,,,,
15/12/1998,,,,,,,,,,,,,,,,0,13.85,0,5.7,,,,,,,
16/12/1998,,,,,,,,,,,,,,,,0,14.8,0,4,,,,,,,
17/12/1998,,,,,,,,,,,,,,,,0,12.2,0,6.6,,,,,,,
18/12/1998,,,,,,,,,,,,,,,,0,12.8,0,5.7,,,,,,,
19/12/1998,,,,,,,,,,,,,,,,0,10,0,3.35,,,,,,,
20/12/1998,,,,,,,,,,,,,,,,0,8.6,0,6,,,,,,,
21/12/1998,,,,,,,,,,,,,,,,0,7.45,0,7.05,,,,,,,
22/12/1998,,,,,,,,,,,,,,,,0,5.15,0,3.45,,,,,,,
23/12/1998,,,,,,,,,,,,,,,,0,0.3,0,2.2,,,,,,,
24/12/1998,,,,,,,,,,,,,,,,0,0.8,0,0.25,,,,,,,
25/12/1998,,,,,,,,,,,,,,,,0,1.8,0,4.15,,,,,,,
26/12/1998,,,,,,,,,,,,,,,,0,3.7,0,2.4,,,,,,,
27/12/1998,,,,,,,,,,,,,,,,0,3.4,0,2.3,,,,,,,
28/12/1998,,,,,,,,,,,,,,,,0,5.1,0,7.3,,,,,,,
29/12/1998,,,,,,,,,,,,,,,,0,5.7,0,8.2,,,,,,,
30/12/1998,,,,,,,,,,,,,,,,0,4.25,0,6.7,,,,,,,
31/12/1998,,,,,,,,,,,,,,,,0,4.55,0,6.4,,,,,,,
01/01/1999,,,,,,,,,,,,,,,,0,0,0,9.8,,,,,,,
02/01/1999,,,,,,,,,,,,,,,,0,5.5,0,8.3,,,,,,,
03/01/1999,,,,,,,,,,,,,,,,0,6.15,0,9.3,,,,,,,
04/01/1999,,,,,,,,,,,,,,,,0,9.55,0,9.3,,,,,,,
05/01/1999,,,,,,,,,,,,,,,,0,11.75,0,8.25,,,,,,,
06/01/1999,,,,,,,,,,,,,,,,0,9.05,0,7.45,,,,,,,
07/01/1999,,,,,,,,,,,,,,,,0,5.65,0,9.3,,,,,,,
08/01/1999,,,,,,,,,,,,,,,,0,6.65,0,11.3,,,,,,,
09/01/1999,,,,,,,,,,,,,,,,0,5.3,0,10.8,,,,,,,
10/01/1999,,,,,,,,,,,,,,,,0,4,0,7.3,,,,,,,
11/01/1999,,,,,,,,,,,,,,,,0,2,0,9.25,,,,,,,
12/01/1999,,,,,,,,,,,,,,,,0,0.8,0,7.55,,,,,,,
13/01/1999,,,,,,,,,,,,,,,,0,0.95,0,4.75,,,,,,,
14/01/1999,,,,,,,,,,,,,,,,0,3.35,0,2.6,,,,,,,
15/01/1999,,,,,,,,,,,,,,,,0,5.65,0,4.65,,,,,,,
16/01/1999,,,,,,,,,,,,,,,,0,5,0,3.85,,,,,,,
17/01/1999,,,,,,,,,,,,,,,,0,5.5,0,6.25,,,,,,,
18/01/1999,,,,,,,,,,,,,,,,0,8.05,0,7.55,,,,,,,
19/01/1999,,,,,,,,,,,,,,,,0,8.65,0,7.3,,,,,,,
20/01/1999,,,,,,,,,,,,,,,,0,8,0,7,,,,,,,
21/01/1999,,,,,,,,,,,,,,,,0,8.45,0,6.4,,,,,,,
22/01/1999,,,,,,,,,,,,,,,,0,6.95,0,2.9,,,,,,,
23/01/1999,,,,,,,,,,,,,,,,0,5.5,0,1.35,,,,,,,
