Date,Rainfall_Le_Croci,Rainfall_Cavallina,Rainfall_S_Agata,Rainfall_Mangona,Rainfall_S_Piero,Rainfall_Vernio,Rainfall_Stia,Rainfall_Consuma,Rainfall_Incisa,Rainfall_Montevarchi,Rainfall_S_Savino,Rainfall_Laterina,Rainfall_Bibbiena,Rainfall_Camaldoli,Temperature_Firenze,Hydrometry_Nave_di_Rosano
10/02/1998,,,,,,,,,,,,,,,,1.72
11/02/1998,,,,,,,,,,,,,,,,1.67
12/02/1998,,,,,,,,,,,,,,,,1.69
13/02/1998,,,,,,,,,,,,,,,,1.64
14/02/1998,,,,,,,,,,,,,,,,1.48
15/02/1998,,,,,,,,,,,,,,,,1.39
16/02/1998,,,,,,,,,,,,,,,,1.51
17/02/1998,,,,,,,,,,,,,,,,1.62
18/02/1998,,,,,,,,,,,,,,,,1.52
19/02/1998,,,,,,,,,,,,,,,,1.55
20/02/1998,,,,,,,,,,,,,,,,1.49
21/02/1998,,,,,,,,,,,,,,,,1.35
22/02/1998,,,,,,,,,,,,,,,,1.34
23/02/1998,,,,,,,,,,,,,,,,1.79
24/02/1998,,,,,,,,,,,,,,,,2.33
25/02/1998,,,,,,,,,,,,,,,,2.15
26/02/1998,,,,,,,,,,,,,,,,2.07
27/02/1998,,,,,,,,,,,,,,,,1.83
28/02/1998,,,,,,,,,,,,,,,,1.55
01/03/1998,,,,,,,,,,,,,,,,1.45
02/03/1998,,,,,,,,,,,,,,,,1.56
03/03/1998,,,,,,,,,,,,,,,,1.7
04/03/1998,,,,,,,,,,,,,,,,1.69
05/03/1998,,,,,,,,,,,,,,,,1.67
06/03/1998,,,,,,,,,,,,,,,,1.59
07/03/1998,,,,,,,,,,,,,,,,1.5
08/03/1998,,,,,,,,,,,,,,,,1.38
09/03/1998,,,,,,,,,,,,,,,,1.51
10/03/1998,,,,,,,,,,,,,,,,1.61
11/03/1998,,,,,,,,,,,,,,,,1.62
12/03/1998,,,,,,,,,,,,,,,,1.69
13/03/1998,,,,,,,,,,,,,,,,2.29
14/03/1998,,,,,,,,,,,,,,,,2.09
15/03/1998,,,,,,,,,,,,,,,,1.66
16/03/1998,,,,,,,,,,,,,,,,1.86
17/03/1998,,,,,,,,,,,,,,,,1.79
18/03/1998,,,,,,,,,,,,,,,,1.71
19/03/1998,,,,,,,,,,,,,,,,1.79
20/03/1998,,,,,,,,,,,,,,,,1.75
21/03/1998,,,,,,,,,,,,,,,,1.52
22/03/1998,,,,,,,,,,,,,,,,1.36
23/03/1998,,,,,,,,,,,,,,,,1.52
24/03/1998,,,,,,,,,,,,,,,,1.77
25/03/1998,,,,,,,,,,,,,,,,1.83
26/03/1998,,,,,,,,,,,,,,,,1.91
27/03/1998,,,,,,,,,,,,,,,,1.65
28/03/1998,,,,,,,,,,,,,,,,1.69
29/03/1998,,,,,,,,,,,,,,,,1.48
30/03/1998,,,,,,,,,,,,,,,,1.83
31/03/1998,,,,,,,,,,,,,,,,1.68
01/04/1998,,,,,,,,,,,,,,,,1.7
02/04/1998,,,,,,,,,,,,,,,,1.81
03/04/1998,,,,,,,,,,,,,,,,1.81
04/04/1998,,,,,,,,,,,,,,,,1.51
05/04/1998,,,,,,,,,,,,,,,,1.43
06/04/1998,,,,,,,,,,,,,,,,1.98
07/04/1998,,,,,,,,,,,,,,,,2.02
08/04/1998,,,,,,,,,,,,,,,,1.88
09/04/1998,,,,,,,,,,,,,,,,1.87
10/04/1998,,,,,,,,,,,,,,,,1.98
11/04/1998,,,,,,,,,,,,,,,,2.52
12/04/1998,,,,,,,,,,,,,,,,3.21
13/04/1998,,,,,,,,,,,,,,,,3
14/04/1998,,,,,,,,,,,,,,,,2.6
15/04/1998,,,,,,,,,,,,,,,,2.47
16/04/1998,,,,,,,,,,,,,,,,3.11
17/04/1998,,,,,,,,,,,,,,,,3.22
18/04/1998,,,,,,,,,,,,,,,,2.88
19/04/1998,,,,,,,,,,,,,,,,2.64
20/04/1998,,,,,,,,,,,,,,,,2.36
21/04/1998,,,,,,,,,,,,,,,,2.06
22/04/1998,,,,,,,,,,,,,,,,2.01
23/04/1998,,,,,,,,,,,,,,,,2.01
24/04/1998,,,,,,,,,,,,,,,,2.09
25/04/1998,,,,,,,,,,,,,,,,1.69
26/04/1998,,,,,,,,,,,,,,,,1.57
27/04/1998,,,,,,,,,,,,,,,,1.75
28/04/1998,,,,,,,,,,,,,,,,2.03
29/04/1998,,,,,,,,,,,,,,,,2.37
30/04/1998,,,,,,,,,,,,,,,,2.36
01/05/1998,,,,,,,,,,,,,,,,2.37
02/05/1998,,,,,,,,,,,,,,,,2.53
03/05/1998,,,,,,,,,,,,,,,,2.42
04/05/1998,,,,,,,,,,,,,,,,2.14
05/05/1998,,,,,,,,,,,,,,,,2.21
06/05/1998,,,,,,,,,,,,,,,,2.07
07/05/1998,,,,,,,,,,,,,,,,2.11
08/05/1998,,,,,,,,,,,,,,,,1.81
09/05/1998,,,,,,,,,,,,,,,,1.66
10/05/1998,,,,,,,,,,,,,,,,1.51
11/05/1998,,,,,,,,,,,,,,,,1.64
12/05/1998,,,,,,,,,,,,,,,,1.72
13/05/1998,,,,,,,,,,,,,,,,1.71
14/05/1998,,,,,,,,,,,,,,,,1.72
15/05/1998,,,,,,,,,,,,,,,,1.54
16/05/1998,,,,,,,,,,,,,,,,1.4
17/05/1998,,,,,,,,,,,,,,,,1.38
18/05/1998,,,,,,,,,,,,,,,,1.38
19/05/1998,,,,,,,,,,,,,,,,1.43
20/05/1998,,,,,,,,,,,,,,,,1.47
21/05/1998,,,,,,,,,,,,,,,,1.44
22/05/1998,,,,,,,,,,,,,,,,1.46
23/05/1998,,,,,,,,,,,,,,,,1.46
24/05/1998,,,,,,,,,,,,,,,,1.4
25/05/1998,,,,,,,,,,,,,,,,1.46
26/05/1998,,,,,,,,,,,,,,,,1.72
27/05/1998,,,,,,,,,,,,,,,,1.51
28/05/1998,,,,,,,,,,,,,,,,1.58
29/05/1998,,,,,,,,,,,,,,,,1.83
30/05/1998,,,,,,,,,,,,,,,,1.68
31/05/1998,,,,,,,,,,,,,,,,1.52
01/06/1998,,,,,,,,,,,,,,,,1.6
02/06/1998,,,,,,,,,,,,,,,,1.5
03/06/1998,,,,,,,,,,,,,,,,1.52
04/06/1998,,,,,,,,,,,,,,,,1.49
05/06/1998,,,,,,,,,,,,,,,,1.4
06/06/1998,,,,,,,,,,,,,,,,1.35
07/06/1998,,,,,,,,,,,,,,,,1.29
08/06/1998,,,,,,,,,,,,,,,,1.37
09/06/1998,,,,,,,,,,,,,,,,1.41
10/06/1998,,,,,,,,,,,,,,,,1.37
11/06/1998,,,,,,,,,,,,,,,,1.58
12/06/1998,,,,,,,,,,,,,,,,1.69
13/06/1998,,,,,,,,,,,,,,,,1.69
14/06/1998,,,,,,,,,,,,,,,,1.51
15/06/1998,,,,,,,,,,,,,,,,1.43
16/06/1998,,,,,,,,,,,,,,,,1.48
17/06/1998,,,,,,,,,,,,,,,,1.39
18/06/1998,,,,,,,,,,,,,,,,1.37
19/06/1998,,,,,,,,,,,,,,,,1.39
20/06/1998,,,,,,,,,,,,,,,,1.34
21/06/1998,,,,,,,,,,,,,,,,1.25
22/06/1998,,,,,,,,,,,,,,,,1.23
23/06/1998,,,,,,,,,,,,,,,,1.25
24/06/1998,,,,,,,,,,,,,,,,1.26
25/06/1998,,,,,,,,,,,,,,,,1.24
26/06/1998,,,,,,,,,,,,,,,,1.22
27/06/1998,,,,,,,,,,,,,,,,1.29
28/06/1998,,,,,,,,,,,,,,,,1.18
29/06/1998,,,,,,,,,,,,,,,,1.17
30/06/1998,,,,,,,,,,,,,,,,1.22
01/07/1998,,,,,,,,,,,,,,,,1.23
02/07/1998,,,,,,,,,,,,,,,,1.22
03/07/1998,,,,,,,,,,,,,,,,1.2
04/07/1998,,,,,,,,,,,,,,,,1.19
05/07/1998,,,,,,,,,,,,,,,,1.15
06/07/1998,,,,,,,,,,,,,,,,1.14
07/07/1998,,,,,,,,,,,,,,,,1.18
08/07/1998,,,,,,,,,,,,,,,,1.17
09/07/1998,,,,,,,,,,,,,,,,1.15
10/07/1998,,,,,,,,,,,,,,,,1.15
11/07/1998,,,,,,,,,,,,,,,,1.15
12/07/1998,,,,,,,,,,,,,,,,1.15
13/07/1998,,,,,,,,,,,,,,,,1.14
14/07/1998,,,,,,,,,,,,,,,,1.22
15/07/1998,,,,,,,,,,,,,,,,1.23
16/07/1998,,,,,,,,,,,,,,,,1.17
17/07/1998,,,,,,,,,,,,,,,,1.15
18/07/1998,,,,,,,,,,,,,,,,1.15
19/07/1998,,,,,,,,,,,,,,,,1.14
20/07/1998,,,,,,,,,,,,,,,,1.13
21/07/1998,,,,,,,,,,,,,,,,1.13
22/07/1998,,,,,,,,,,,,,,,,1.12
23/07/1998,,,,,,,,,,,,,,,,1.12
24/07/1998,,,,,,,,,,,,,,,,1.11
25/07/1998,,,,,,,,,,,,,,,,1.11
26/07/1998,,,,,,,,,,,,,,,,1.11
27/07/1998,,,,,,,,,,,,,,,,1.12
28/07/1998,,,,,,,,,,,,,,,,1.12
29/07/1998,,,,,,,,,,,,,,,,1.11
30/07/1998,,,,,,,,,,,,,,,,1.1
31/07/1998,,,,,,,,,,,,,,,,1.09
01/08/1998,,,,,,,,,,,,,,,,1.11
02/08/1998,,,,,,,,,,,,,,,,1.11
03/08/1998,,,,,,,,,,,,,,,,1.12
04/08/1998,,,,,,,,,,,,,,,,1.12
05/08/1998,,,,,,,,,,,,,,,,1.12
06/08/1998,,,,,,,,,,,,,,,,1.1
07/08/1998,,,,,,,,,,,,,,,,1.1
08/08/1998,,,,,,,,,,,,,,,,1.1
09/08/1998,,,,,,,,,,,,,,,,1.09
10/08/1998,,,,,,,,,,,,,,,,1.1
11/08/1998,,,,,,,,,,,,,,,,1.09
12/08/1998,,,,,,,,,,,,,,,,1.09
13/08/1998,,,,,,,,,,,,,,,,1.08
14/08/1998,,,,,,,,,,,,,,,,1.09
15/08/1998,,,,,,,,,,,,,,,,1.09
16/08/1998,,,,,,,,,,,,,,,,1.09
17/08/1998,,,,,,,,,,,,,,,,1.09
18/08/1998,,,,,,,,,,,,,,,,1.09
19/08/1998,,,,,,,,,,,,,,,,1.11
20/08/1998,,,,,,,,,,,,,,,,1.11
21/08/1998,,,,,,,,,,,,,,,,1.11
22/08/1998,,,,,,,,,,,,,,,,1.1
23/08/1998,,,,,,,,,,,,,,,,1.09
24/08/1998,,,,,,,,,,,,,,,,1.09
25/08/1998,,,,,,,,,,,,,,,,1.09
26/08/1998,,,,,,,,,,,,,,,,1.07
27/08/1998,,,,,,,,,,,,,,,,1.08
28/08/1998,,,,,,,,,,,,,,,,1.09
29/08/1998,,,,,,,,,,,,,,,,1.07
30/08/1998,,,,,,,,,,,,,,,,1.06
31/08/1998,,,,,,,,,,,,,,,,1.08
01/09/1998,,,,,,,,,,,,,,,,1.09
02/09/1998,,,,,,,,,,,,,,,,1.09
03/09/1998,,,,,,,,,,,,,,,,1.13
04/09/1998,,,,,,,,,,,,,,,,1.12
05/09/1998,,,,,,,,,,,,,,,,1.16
06/09/1998,,,,,,,,,,,,,,,,1.17
07/09/1998,,,,,,,,,,,,,,,,1.14
08/09/1998,,,,,,,,,,,,,,,,1.13
09/09/1998,,,,,,,,,,,,,,,,1.11
10/09/1998,,,,,,,,,,,,,,,,1.11
11/09/1998,,,,,,,,,,,,,,,,1.12
12/09/1998,,,,,,,,,,,,,,,,1.17
13/09/1998,,,,,,,,,,,,,,,,1.19
14/09/1998,,,,,,,,,,,,,,,,1.16
15/09/1998,,,,,,,,,,,,,,,,1.13
16/09/1998,,,,,,,,,,,,,,,,1.12
17/09/1998,,,,,,,,,,,,,,,,1.12
18/09/1998,,,,,,,,,,,,,,,,1.1
19/09/1998,,,,,,,,,,,,,,,,1.09
20/09/1998,,,,,,,,,,,,,,,,1.09
21/09/1998,,,,,,,,,,,,,,,,1.09
22/09/1998,,,,,,,,,,,,,,,,1.1
23/09/1998,,,,,,,,,,,,,,,,1.1
24/09/1998,,,,,,,,,,,,,,,,1.13
25/09/1998,,,,,,,,,,,,,,,,1.2
26/09/1998,,,,,,,,,,,,,,,,1.24
27/09/1998,,,,,,,,,,,,,,,,1.62
28/09/1998,,,,,,,,,,,,,,,,1.51
29/09/1998,,,,,,,,,,,,,,,,1.31
30/09/1998,,,,,,,,,,,,,,,,1.25
01/10/1998,,,,,,,,,,,,,,,,1.52
02/10/1998,,,,,,,,,,,,,,,,1.67
03/10/1998,,,,,,,,,,,,,,,,1.4
04/10/1998,,,,,,,,,,,,,,,,1.49
05/10/1998,,,,,,,,,,,,,,,,1.63
06/10/1998,,,,,,,,,,,,,,,,2.64
07/10/1998,,,,,,,,,,,,,,,,2.25
08/10/1998,,,,,,,,,,,,,,,,1.96
09/10/1998,,,,,,,,,,,,,,,,1.82
10/10/1998,,,,,,,,,,,,,,,,1.65
11/10/1998,,,,,,,,,,,,,,,,1.37
12/10/1998,,,,,,,,,,,,,,,,1.34
13/10/1998,,,,,,,,,,,,,,,,1.36
14/10/1998,,,,,,,,,,,,,,,,1.41
15/10/1998,,,,,,,,,,,,,,,,1.37
16/10/1998,,,,,,,,,,,,,,,,1.37
17/10/1998,,,,,,,,,,,,,,,,1.3
18/10/1998,,,,,,,,,,,,,,,,1.67
19/10/1998,,,,,,,,,,,,,,,,2.73
20/10/1998,,,,,,,,,,,,,,,,3.13
21/10/1998,,,,,,,,,,,,,,,,2.46
22/10/1998,,,,,,,,,,,,,,,,1.81
23/10/1998,,,,,,,,,,,,,,,,1.63
24/10/1998,,,,,,,,,,,,,,,,1.49
25/10/1998,,,,,,,,,,,,,,,,1.43
26/10/1998,,,,,,,,,,,,,,,,1.68
27/10/1998,,,,,,,,,,,,,,,,1.72
28/10/1998,,,,,,,,,,,,,,,,1.72
29/10/1998,,,,,,,,,,,,,,,,1.51
30/10/1998,,,,,,,,,,,,,,,,1.54
31/10/1998,,,,,,,,,,,,,,,,1.42
01/11/1998,,,,,,,,,,,,,,,,1.32
02/11/1998,,,,,,,,,,,,,,,,1.38
03/11/1998,,,,,,,,,,,,,,,,1.38
04/11/1998,,,,,,,,,,,,,,,,2.76
05/11/1998,,,,,,,,,,,,,,,,2.94
06/11/1998,,,,,,,,,,,,,,,,2.17
07/11/1998,,,,,,,,,,,,,,,,1.85
08/11/1998,,,,,,,,,,,,,,,,1.64
09/11/1998,,,,,,,,,,,,,,,,1.56
10/11/1998,,,,,,,,,,,,,,,,1.64
11/11/1998,,,,,,,,,,,,,,,,2.22
12/11/1998,,,,,,,,,,,,,,,,2.07
13/11/1998,,,,,,,,,,,,,,,,1.77
14/11/1998,,,,,,,,,,,,,,,,1.69
15/11/1998,,,,,,,,,,,,,,,,1.7
16/11/1998,,,,,,,,,,,,,,,,1.82
17/11/1998,,,,,,,,,,,,,,,,1.77
18/11/1998,,,,,,,,,,,,,,,,1.76
19/11/1998,,,,,,,,,,,,,,,,1.69
20/11/1998,,,,,,,,,,,,,,,,1.5
21/11/1998,,,,,,,,,,,,,,,,1.43
22/11/1998,,,,,,,,,,,,,,,,1.34
23/11/1998,,,,,,,,,,,,,,,,1.45
24/11/1998,,,,,,,,,,,,,,,,1.57
25/11/1998,,,,,,,,,,,,,,,,1.63
26/11/1998,,,,,,,,,,,,,,,,1.56
27/11/1998,,,,,,,,,,,,,,,,1.51
28/11/1998,,,,,,,,,,,,,,,,1.36
29/11/1998,,,,,,,,,,,,,,,,1.31
30/11/1998,,,,,,,,,,,,,,,,1.35
01/12/1998,,,,,,,,,,,,,,,,1.55
02/12/1998,,,,,,,,,,,,,,,,1.67
03/12/1998,,,,,,,,,,,,,,,,1.69
04/12/1998,,,,,,,,,,,,,,,,1.77
05/12/1998,,,,,,,,,,,,,,,,1.88
06/12/1998,,,,,,,,,,,,,,,,1.7
07/12/1998,,,,,,,,,,,,,,,,1.62
08/12/1998,,,,,,,,,,,,,,,,1.5
09/12/1998,,,,,,,,,,,,,,,,1.52
10/12/1998,,,,,,,,,,,,,,,,1.59
11/12/1998,,,,,,,,,,,,,,,,
12/12/1998,,,,,,,,,,,,,,,,
13/12/1998,,,,,,,,,,,,,,,,
14/12/1998,,,,,,,,,,,,,,,,
15/12/1998,,,,,,,,,,,,,,,,
16/12/1998,,,,,,,,,,,,,,,,
17/12/1998,,,,,,,,,,,,,,,,
18/12/1998,,,,,,,,,,,,,,,,
19/12/1998,,,,,,,,,,,,,,,,
20/12/1998,,,,,,,,,,,,,,,,
21/12/1998,,,,,,,,,,,,,,,,
22/12/1998,,,,,,,,,,,,,,,,
23/12/1998,,,,,,,,,,,,,,,,
24/12/1998,,,,,,,,,,,,,,,,
25/12/1998,,,,,,,,,,,,,,,,
26/12/1998,,,,,,,,,,,,,,,,
27/12/1998,,,,,,,,,,,,,,,,
28/12/1998,,,,,,,,,,,,,,,,
29/12/1998,,,,,,,,,,,,,,,,
30/12/1998,,,,,,,,,,,,,,,,
31/12/1998,,,,,,,,,,,,,,,,
01/01/1999,,,,,,,,,,,,,,,,1.47
02/01/1999,,,,,,,,,,,,,,,,1.38
03/01/1999,,,,,,,,,,,,,,,,1.37
04/01/1999,,,,,,,,,,,,,,,,1.34
05/01/1999,,,,,,,,,,,,,,,,1.52
06/01/1999,,,,,,,,,,,,,,,,1.43
07/01/1999,,,,,,,,,,,,,,,,1.41
08/01/1999,,,,,,,,,,,,,,,,1.55
09/01/1999,,,,,,,,,,,,,,,,1.48
10/01/1999,,,,,,,,,,,,,,,,1.41
11/01/1999,,,,,,,,,,,,,,,,2.47
12/01/1999,,,,,,,,,,,,,,,,2.81
13/01/1999,,,,,,,,,,,,,,,,2.78
14/01/1999,,,,,,,,,,,,,,,,2.56
15/01/1999,,,,,,,,,,,,,,,,2.27
16/01/1999,,,,,,,,,,,,,,,,1.97
17/01/1999,,,,,,,,,,,,,,,,1.77
18/01/1999,,,,,,,,,,,,,,,,1.79
19/01/1999,,,,,,,,,,,,,,,,1.93
20/01/1999,,,,,,,,,,,,,,,,1.87
21/01/1999,,,,,,,,,,,,,,,,1.75
22/01/1999,,,,,,,,,,,,,,,,1.62
23/01/1999,,,,,,,,,,,,,,,,1.5
24/01/1999,,,,,,,,,,,,,,,,1.47
25/01/1999,,,,,,,,,,,,,,,,1.53
26/01/1999,,,,,,,,,,,,,,,,1.71
27/01/1999,,,,,,,,,,,,,,,,1.98
28/01/1999,,,,,,,,,,,,,,,,2.11
29/01/1999,,,,,,,,,,,,,,,,1.93
30/01/1999,,,,,,,,,,,,,,,,1.58
31/01/1999,,,,,,,,,,,,,,,,1.51
01/02/1999,,,,,,,,,,,,,,,,1.55
02/02/1999,,,,,,,,,,,,,,,,1.68
03/02/1999,,,,,,,,,,,,,,,,1.62
04/02/1999,,,,,,,,,,,,,,,,1.59
05/02/1999,,,,,,,,,,,,,,,,1.65
06/02/1999,,,,,,,,,,,,,,,,1.49
07/02/1999,,,,,,,,,,,,,,,,1.4
08/02/1999,,,,,,,,,,,,,,,,1.48
09/02/1999,,,,,,,,,,,,,,,,1.76
10/02/1999,,,,,,,,,,,,,,,,3.89
11/02/1999,,,,,,,,,,,,,,,,3.26
12/02/1999,,,,,,,,,,,,,,,,2.6
13/02/1999,,,,,,,,,,,,,,,,2.46
14/02/1999,,,,,,,,,,,,,,,,1.77
15/02/1999,,,,,,,,,,,,,,,,1.91
16/02/1999,,,,,,,,,,,,,,,,2.03
17/02/1999,,,,,,,,,,,,,,,,1.98
18/02/1999,,,,,,,,,,,,,,,,1.79
19/02/1999,,,,,,,,,,,,,,,,1.73
20/02/1999,,,,,,,,,,,,,,,,1.78
21/02/1999,,,,,,,,,,,,,,,,1.66
22/02/1999,,,,,,,,,,,,,,,,1.79
23/02/1999,,,,,,,,,,,,,,,,2.52
24/02/1999,,,,,,,,,,,,,,,,2.13
25/02/1999,,,,,,,,,,,,,,,,2.15
26/02/1999,,,,,,,,,,,,,,,,2.06
27/02/1999,,,,,,,,,,,,,,,,1.84
28/02/1999,,,,,,,,,,,,,,,,1.64
01/03/1999,,,,,,,,,,,,,,,,1.8
02/03/1999,,,,,,,,,,,,,,,,1.86
03/03/1999,,,,,,,,,,,,,,,,1.88
04/03/1999,,,,,,,,,,,,,,,,1.9
05/03/1999,,,,,,,,,,,,,,,,2.96
06/03/1999,,,,,,,,,,,,,,,,3.13
07/03/1999,,,,,,,,,,,,,,,,2.96
08/03/1999,,,,,,,,,,,,,,,,2.67
09/03/1999,,,,,,,,,,,,,,,,2.37
10/03/1999,,,,,,,,,,,,,,,,2.31
11/03/1999,,,,,,,,,,,,,,,,2.3
12/03/1999,,,,,,,,,,,,,,,,2.23
13/03/1999,,,,,,,,,,,,,,,,2.05
14/03/1999,,,,,,,,,,,,,,,,1.67
15/03/1999,,,,,,,,,,,,,,,,1.87
16/03/1999,,,,,,,,,,,,,,,,1.98
17/03/1999,,,,,,,,,,,,,,,,1.92
18/03/1999,,,,,,,,,,,,,,,,1.85
19/03/1999,,,,,,,,,,,,,,,,1.77
20/03/1999,,,,,,,,,,,,,,,,1.6
21/03/1999,,,,,,,,,,,,,,,,1.46
22/03/1999,,,,,,,,,,,,,,,,1.67
23/03/1999,,,,,,,,,,,,,,,,1.91
24/03/1999,,,,,,,,,,,,,,,,1.7
25/03/1999,,,,,,,,,,,,,,,,1.66
26/03/1999,,,,,,,,,,,,,,,,1.7
27/03/1999,,,,,,,,,,,,,,,,2.09
28/03/1999,,,,,,,,,,,,,,,,2.37
29/03/1999,,,,,,,,,,,,,,,,2.27
30/03/1999,,,,,,,,,,,,,,,,2.1
31/03/1999,,,,,,,,,,,,,,,,1.96
01/04/1999,,,,,,,,,,,,,,,,1.87
02/04/1999,,,,,,,,,,,,,,,,1.82
03/04/1999,,,,,,,,,,,,,,,,1.62
04/04/1999,,,,,,,,,,,,,,,,1.51
05/04/1999,,,,,,,,,,,,,,,,1.49
06/04/1999,,,,,,,,,,,,,,,,1.6
07/04/1999,,,,,,,,,,,,,,,,1.72
08/04/1999,,,,,,,,,,,,,,,,2.02
09/04/1999,,,,,,,,,,,,,,,,2.2
10/04/1999,,,,,,,,,,,,,,,,2.13
11/04/1999,,,,,,,,,,,,,,,,1.81
12/04/1999,,,,,,,,,,,,,,,,1.99
13/04/1999,,,,,,,,,,,,,,,,2.23
14/04/1999,,,,,,,,,,,,,,,,2.23
15/04/1999,,,,,,,,,,,,,,,,2.26
16/04/1999,,,,,,,,,,,,,,,,2.47
17/04/1999,,,,,,,,,,,,,,,,2.71
18/04/1999,,,,,,,,,,,,,,,,2.45
19/04/1999,,,,,,,,,,,,,,,,2.47
20/04/1999,,,,,,,,,,,,,,,,2.67
21/04/1999,,,,,,,,,,,,,,,,2.85
22/04/1999,,,,,,,,,,,,,,,,2.53
23/04/1999,,,,,,,,,,,,,,,,2.33
24/04/1999,,,,,,,,,,,,,,,,2.35
25/04/1999,,,,,,,,,,,,,,,,1.89
26/04/1999,,,,,,,,,,,,,,,,2.03
27/04/1999,,,,,,,,,,,,,,,,2.08
28/04/1999,,,,,,,,,,,,,,,,2.03
29/04/1999,,,,,,,,,,,,,,,,1.85
30/04/1999,,,,,,,,,,,,,,,,1.88
01/05/1999,,,,,,,,,,,,,,,,1.65
02/05/1999,,,,,,,,,,,,,,,,1.55
03/05/1999,,,,,,,,,,,,,,,,1.9
04/05/1999,,,,,,,,,,,,,,,,1.92
05/05/1999,,,,,,,,,,,,,,,,1.75
06/05/1999,,,,,,,,,,,,,,,,1.74
07/05/1999,,,,,,,,,,,,,,,,1.76
08/05/1999,,,,,,,,,,,,,,,,1.59
09/05/1999,,,,,,,,,,,,,,,,1.53
10/05/1999,,,,,,,,,,,,,,,,1.84
11/05/1999,,,,,,,,,,,,,,,,1.75
12/05/1999,,,,,,,,,,,,,,,,1.71
13/05/1999,,,,,,,,,,,,,,,,1.7
14/05/1999,,,,,,,,,,,,,,,,1.61
15/05/1999,,,,,,,,,,,,,,,,1.52
16/05/1999,,,,,,,,,,,,,,,,1.42
17/05/1999,,,,,,,,,,,,,,,,1.52
18/05/1999,,,,,,,,,,,,,,,,1.59
19/05/1999,,,,,,,,,,,,,,,,
20/05/1999,,,,,,,,,,,,,,,,1.59
21/05/1999,,,,,,,,,,,,,,,,2.07
22/05/1999,,,,,,,,,,,,,,,,2.06
23/05/1999,,,,,,,,,,,,,,,,1.62
24/05/1999,,,,,,,,,,,,,,,,1.55
25/05/1999,,,,,,,,,,,,,,,,1.59
26/05/1999,,,,,,,,,,,,,,,,1.59
27/05/1999,,,,,,,,,,,,,,,,1.55
28/05/1999,,,,,,,,,,,,,,,,1.53
29/05/1999,,,,,,,,,,,,,,,,1.4
30/05/1999,,,,,,,,,,,,,,,,1.31
31/05/1999,,,,,,,,,,,,,,,,1.3
01/06/1999,,,,,,,,,,,,,,,,1.39
02/06/1999,,,,,,,,,,,,,,,,1.36
03/06/1999,,,,,,,,,,,,,,,,1.33
04/06/1999,,,,,,,,,,,,,,,,1.34
05/06/1999,,,,,,,,,,,,,,,,1.32
06/06/1999,,,,,,,,,,,,,,,,1.27
07/06/1999,,,,,,,,,,,,,,,,1.25
08/06/1999,,,,,,,,,,,,,,,,1.37
09/06/1999,,,,,,,,,,,,,,,,1.3
10/06/1999,,,,,,,,,,,,,,,,1.31
